Nom,Type_1,Type_2,Icône,Description,Niveau,Attribut,ATK,DEF,Prix
Abaki,Monstre,[ Démon / Effet ],,"Lorsque cette carte est détruite au combat et envoyée au Cimetière, chaque joueur reçoit 500 points de dommages.",4.0,Feu,1700,1000,0
Abare Ushioni,Monstre,[ Bête-Guerrier / Effet ],,"Prenez une pièce et jouez à pile ou face. Si vous gagnez, infligez 1000 points de dommages aux Life Points de votre adversaire. Si vous perdez, vous recevez 1000 points de dommages. Vous ne pouvez utiliser cet effet qu'une fois par tour durant votre Main Phase.",4.0,Terre,1200,1200,0
Abanc le Mythologique,Monstre,[ Bête / Syntoniseur / Effet ],,"Si cette carte est dans votre Cimetière : vous pouvez défausser 1 monstre ""Mythologique"", et si vous le faites, Invoquez Spécialement cette carte, mais bannissez-la lorsqu'elle quitte le Terrain. Vous ne pouvez utiliser cet effet de ""Abanc le Mythologique"" qu'une fois par tour.",2.0,Lumière,1000,600,"0,25"
Abeille Automate,Monstre,[ Insecte / Effet ],,"Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement 1 monstre ""Automate"" de max. Niveau 4 depuis votre Deck.",1.0,Terre,100,300,"0,25"
Abeille Cuirassée,Monstre,[ Insecte / Effet ],,"Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la End Phase, divisez par deux l'ATK de la cible.",4.0,Vent,1600,1200,1
"Aberconway, Bête Héraldique",Monstre,[ Dragon / Effet ],,"Si cette carte est dans votre Cimetière : vous pouvez bannir 1 ""Aberconway, Bête héraldique"" depuis votre Cimetière, pour cibler 1 carte ""Bête héraldique"" monstre dans votre Cimetière, ajoutez cette cible à la main. Vous ne pouvez utiliser l'effet de ""Aberconway, Bête héraldique"" qu'une fois par tour.",4.0,Vent,1800,900,"0,25"
Abomination Désenchaînée,Monstre,[ Démon / Lien / Effet ],,"2+ monstres (un Monstre Lien inclus)
 Si une ou plusieurs cartes sur le Terrain sont détruites par un effet de carte (""Abomination Désenchaînée"" exclu) (sauf durant la Damage Step) : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la. Lorsqu'un autre monstre est détruit au combat : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la. Durant la End Phase : vous pouvez cibler 1 carte sur le Terrain ; détruisez-la. Vous ne pouvez utiliser chaque effet de ""Abomination Désenchaînée"" qu'une fois par tour.",13.0,Ténèbres,3000,LINK-4,0
Abomination du Jugement Dernier,Monstre,[ Démon / Effet ],,L'ATK/DEF de cette carte sont égales au nombre de monstres TÉNÈBRES bannis x 300. Si cette carte est détruite et envoyée au Cimetière : renvoyez tous les monstres TÉNÈBRES bannis aux Cimetières.,4.0,Ténèbres,?,?,0
Absorbeur d'Attaque,Monstre,[ Guerrier / Syntoniseur / Effet ],,"Si cette carte est envoyée au Cimetière en tant que Monstre-Matériel de Synchro pour une Invocation Synchro, sélectionnez 1 monstre de votre adversaire. Le monstre sélectionné perd 1000 points d'ATK.",1.0,Terre,0,0,5
Abysse Étincelante,Monstre,[ Elfe / Normal ],,Le corps de ce monstre est l'équilibre entre le côté clair et le côté obscur de la force.,4.0,Lumière,1600,1800,"0,5"
Abysses Gishki,Monstre,[ Poisson / Effet ],,"Lorsque cette carte est Invoquée : vous pouvez ajouter 1 monstre ""Gishki"" avec max. 1000 DEF (""Abysses Gishki"" exclu) depuis votre Deck à votre main.",2.0,Eau,800,500,0
Accècodeur Bavard,Monstre,[ Cyberse / Lien / Effet ],,"2+ Monstres à Effet
 Votre adversaire ne peut activer ni de cartes ni d'effets en réponse aux activations de l'effet de cette carte. Si cette carte est Invoquée par Lien : vous pouvez cibler 1 Monstre Lien qui a été utilisé comme Matériel pour son Invocation Lien ; cette carte gagne une ATK égale à la Classification Lien du monstre x 1000. Vous pouvez bannir 1 Monstre Lien depuis votre Terrain ou Cimetière ; détruisez 1 carte contrôlée par votre adversaire, et aussi, le reste de ce tour, vous ne pouvez pas bannir des monstres du même Attribut pour activer cet effet de ""Accècodeur Bavard"".",13.0,Ténèbres,2300,LINK-4,100
Accel Synchronique,Monstre,[ Machine / Synchro / Syntoniseur ],,"1 Syntoniseur + 1 monstre non-Syntoniseur ou plus
 Une fois par tour : vous pouvez envoyer 1 monstre ""Synchronique"" depuis votre Deck au Cimetière, puis activer 1 de ces effets ;
 • Augmentez le Niveau de cette carte du Niveau du monstre envoyé.
 • Réduisez le Niveau de cette carte du Niveau du monstre envoyé.
 Durant la Main Phase de votre adversaire, vous pouvez : immédiatement après la résolution de cet effet, Invoquez par Synchronisation 1 Monstre Synchro en utilisant des Matériels, en incluant cette carte que vous contrôlez (ceci est un Effet Rapide). Vous ne pouvez Invoquer par Synchronisation un ou plusieurs ""Accel Synchronique"" qu'une fois par tour.",5.0,Ténèbres,500,2100,"0,25"
Accélérateur Cyberse,Monstre,[ Cyberse / Lien / Effet ],,"2+ monstres (Jetons exclus)
 Durant la Battle Phase (Effet Rapide) : vous pouvez cibler 1 monstre Cyberse pointé par cette carte et activer 1 de ces effets ;
 • Jusqu'à la fin de ce tour, il gagne 2000 ATK.
 • Durant chaque Battle Phase ce tour, il peut faire max. 2 attaques sur des monstres.
 Cette carte ne peut pas attaquer le tour où cet effet est activé. Vous ne pouvez utiliser cet effet de ""Accélérateur Cyberse"" qu'une fois par tour.",13.0,Lumière,2000,LINK-3,"0,25"
Achacha Chanbara,Monstre,[ Guerrier / Effet ],,"Durant le tour de chaque joueur, lorsqu'une carte ou un effet qui va infliger des dommages lorsqu'il est résolu est activé : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, infligez 400 points de dommages à votre adversaire.",3.0,Feu,1400,400,"0,25"
Achichi @Ignister,Monstre,[ Cyberse / Effet ],,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 monstre ""@Ignister"" de max. Niveau 4 (""Achichi @Ignister"" exclu) depuis votre Deck à votre main. Au début de la Damage Step, lorsque votre monstre Cyberse combat : vous pouvez bannir cette carte depuis votre Cimetière ; détruisez le monstre que vous contrôlez. Vous ne pouvez utiliser chaque effet de ""Achichi @Ignister"" qu'une fois par tour.",2.0,Feu,800,800,3
"Acid, Héros Masqué",Monstre,[ Guerrier / Fusion / Effet ],,"Uniquement Invocable Spécialement avec ""Changement de Masque"" et non Invocable Spécialement autrement. Lorsque cette carte est Invoquée Spécialement : détruisez toutes les Cartes Magie/Piège contrôlées par votre adversaire, et/puis tous les monstres qu'il contrôle perdent 300 ATK.",8.0,Eau,2600,2100,0
Acieren Métalphose,Monstre,[ Psychique / Pendule ],,"Pendule 8 : Une fois par tour : vous pouvez cibler 1 autre carte face recto que vous contrôlez ; détruisez-la, et si vous le faites, Posez 1 Carte Magie/Piège ""Métalphose"" directement depuis votre Deck.---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Des organismes de fer refroidi avec des machines métalliques brûlantes forment une combinaison homme-machine. Fusion Métalphose, enflamme l'âme !",2.0,Feu,0,2100,"0,75"
Acolyte du Mal Chilam Sabak,Monstre,[ Reptile / Effet ],,"Si vous avez min. 5 cartes dans votre main, vous pouvez Invoquer Normalement cette carte sans Sacrifices. Lorsque cette carte est détruite au combat et envoyée au Cimetière : vous pouvez Invoquer Spécialement cette carte en Position de Défense, et si vous le faites, elle est traitée comme un Syntoniseur. Vous ne pouvez utiliser cet effet de ""Acolyte du Mal Chilam Sabak"" qu'une fois par tour.",8.0,Ténèbres,2500,0,"0,25"
Acorno,Monstre,[ Plante / Effet ],,"Durant votre Main Phase : vous pouvez envoyer 1 ""Pinecono"" depuis votre main au Cimetière, puis Invoquez Spécialement cette carte depuis la main.",1.0,Terre,200,400,"0,5"
Acquéreur De Compétence A Un Œil,Monstre,[ Guerrier / Xyz / Effet ],,"3 Niveau 4 monstres Vous pouvez détacher 1 Matériel Xyz de cette carte pour cibler 1 monstre face recto contrôlé par votre adversaire Xyz, le nom de cette carte devient le nom de la cible, et il gagne ses effets. Cet effet ne peut être activé qu'une fois que cette carte est face recto sur le terrain.",4.0,Lumière,2500,2600,4
Acro Griffrayeur,Monstre,[ Bête / Effet ],,"Vous pouvez Invoquer Spécialement cette carte (depuis votre main) dans votre Zone Monstre Main, adjacente à un monstre ""Griffrayeur"" que vous contrôlez ou dans sa colonne. Vous ne pouvez Invoquer Spécialement ""Acro Griffrayeur"" qu'une fois par tour de cette façon. Vos monstres ""Griffrayeur"" dans les Zones Monstre Extra gagnent 300 ATK pour chaque monstre en Position de Défense que vous contrôlez.",3.0,Terre,0,2000,"0,25"
Acrobra Potartiste,Monstre,[ Reptile / Pendule / Effet ],,"Pendule:2 Une fois par tour, lorsqu'un monstre que vous contrôlez inflige des dommages de combat à votre adversaire : vous pouvez envoyer la carte du dessus du Deck de votre adversaire au Cimetière.---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Cette carte peut attaquer directement votre adversaire. Si cette carte attaque, elle est changée en Position de Défense à la fin de la Battle Phase",4.0,Terre,300,1800,0
Acteur des Abysses - Actrice Principale,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 2 Une fois par tour, lorsque vous recevez des dommages de combat d'un monstre attaquant de votre adversaire : vous pouvez activer 1 de ces effets ;
 •Le monstre de votre adversaire perd une ATK égale aux dommages que vous avez reçus (même si cette carte quitte le Terrain).
 •Ajoutez 1 Monstre Pendule ""Acteur des Abysses"" face recto depuis votre Extra Deck à votre main avec une ATK inférieure ou égale aux dommages que vous avez reçus.-------------------------------------------------------------------------------------------------------------------------------------------------------------Une fois par tour, lorsque des dommages de combat sont infligés : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; il perd une ATK égale aux dommages de combat. Lorsque cette carte est détruite au combat, ou si cette carte dans la Zone Monstre de son propriétaire est détruite par un effet de carte de votre adversaire : vous pouvez Poser 1 Carte Magie ""Script des Abysses"" directement depuis votre Deck.",4.0,Ténèbres,1500,1000,"1,5"
Acteur des Abysses - Comédien Funky,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 8 Une fois par tour : vous pouvez Sacrifier 1 monstre ""Acteur des Abysses"", puis ciblez 1 monstre ""Acteur des Abysses"" que vous contrôlez ; jusqu'à la fin de ce tour (même si cette carte quitte le Terrain), il gagne une ATK égale à l'ATK d'origine du monstre Sacrifié.----------------------------------------------------------------------------------------------Si cette carte est Invoquée Normalement ou Spécialement : jusqu'à la fin de ce tour, vous pouvez faire gagner 300 ATK à cette carte pour chaque monstre ""Acteur des Abysses"" que vous contrôlez actuellement. Vous pouvez cibler 1 autre monstre ""Acteur des Abysses"" que vous contrôlez ; jusqu'à la fin de ce tour, il gagne une ATK égale à l'ATK actuelle de cette carte. Cette carte ne peut pas attaquer le tour où cet effet est activé. Vous ne pouvez utiliser cet effet de ""Acteur des Abysses - Comédien Funky"" qu'une fois par tour.",1.0,Ténèbres,300,200,"0,75"
Acteur des Abysses - Doublure Branchée,Monstre,[ Démon / Pendule / Effet ],,"Pendule :8 Lorsque vous Invoquez par Pendulation un monstre : vous pouvez ajouter 1 Monstre Pendule ""Acteur des Abysses"" de Niveau 1 ou 8 face recto depuis votre Extra Deck à votre main.-------------------------------------------------- Si vous avez 2 cartes ""Acteur des Abysses"" dans vos Zones Pendule : vous pouvez Sacrifier cette carte ; Invoquez Spécialement 1 Monstre Pendule ""Acteur des Abysses"" de Niveau 1 ou 8 depuis votre main ou face recto depuis votre Extra Deck. Vous ne pouvez utiliser cet effet de ""Acteur des Abysses - Doublure Branchée"" qu'une fois par tour.",2.0,Ténèbres,700,700,"0,25"
